target,token_normalization,entity_replacement,balance,feature_method,model,accuracy,precision_macro,recall_macro,f1_macro
direction,lemm,False,smote,Doc2Vec,Random Forest,0.7329192546583851,0.6494623655913978,0.35696658526110675,0.33779399837793994
direction,lemm,False,smote,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,lemm,False,smote,BOW,Logistic Regression,0.8322981366459627,0.702240344319855,0.768814619669378,0.7295481127060075
direction,lemm,False,smote,BOW,"Naive Bayes, Multinomial",0.7763975155279503,0.7001172295289941,0.7054785300848027,0.6840579710144926
direction,lemm,False,smote,BOW,"Naive Bayes, Complement",0.7577639751552795,0.6418485934614967,0.6792813235133871,0.6508272148800783
direction,lemm,False,smote,BOW,Random Forest,0.8074534161490683,0.6987812668927219,0.789633931375754,0.7278552530722252
direction,lemm,False,smote,BOW,Support Vector Machines,0.8198757763975155,0.6894127377998346,0.780493433071169,0.7236450202070531
direction,lemm,False,ada,Doc2Vec,Logistic Regression,0.6956521739130435,0.39796557120500786,0.36964534097391816,0.36749266059610886
direction,lemm,False,ada,Doc2Vec,Random Forest,0.7329192546583851,0.6494623655913978,0.35696658526110675,0.33779399837793994
direction,lemm,False,ada,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,lemm,False,ada,BOW,Logistic Regression,0.8571428571428571,0.7461897738446411,0.7917107346371042,0.7656602797067573
direction,lemm,False,ada,BOW,"Naive Bayes, Multinomial",0.782608695652174,0.6796794599788322,0.7082796505329821,0.6783625730994153
direction,lemm,False,ada,BOW,"Naive Bayes, Complement",0.7763975155279503,0.6736812570145904,0.7024274240588685,0.6742163344970434
direction,lemm,False,ada,BOW,Random Forest,0.8385093167701864,0.7256349910981458,0.7919479004416412,0.7524041585445095
direction,lemm,False,ada,BOW,Support Vector Machines,0.8198757763975155,0.6844729344729344,0.7423674275202071,0.7068145779667928
direction,stem,True,none,Doc2Vec,Logistic Regression,0.6708074534161491,0.410499222999223,0.3904646526802941,0.39539704430142675
direction,stem,True,none,Doc2Vec,Random Forest,0.7888198757763976,0.8800125313283208,0.45537757437070936,0.4895683242546711
direction,stem,True,none,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,stem,True,none,BOW,Logistic Regression,0.937888198757764,0.9160626977279263,0.887096257267209,0.9002405657103291
direction,stem,True,none,BOW,"Naive Bayes, Multinomial",0.8757763975155279,0.850463965519045,0.7416559301065964,0.7769760422561781
direction,stem,True,none,BOW,"Naive Bayes, Complement",0.84472049689441,0.747982488189784,0.7540847002416528,0.7469654528478058
direction,stem,True,none,BOW,Random Forest,0.8944099378881988,0.9145427671743461,0.7500592914511343,0.8089013383131031
direction,stem,True,none,BOW,Support Vector Machines,0.9440993788819876,0.9311082584510055,0.8898973777153882,0.9079447931122573
direction,stem,True,smote,Doc2Vec,Logistic Regression,0.6708074534161491,0.410499222999223,0.3904646526802941,0.39539704430142675
direction,stem,True,smote,Doc2Vec,Random Forest,0.7888198757763976,0.8800125313283208,0.45537757437070936,0.4895683242546711
direction,stem,True,smote,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,stem,True,smote,BOW,Logistic Regression,0.9130434782608695,0.8322134387351778,0.8758917754744919,0.8500099383820315
direction,stem,True,smote,BOW,"Naive Bayes, Multinomial",0.8322981366459627,0.7263650803473812,0.7718657256953124,0.7432950191570881
direction,stem,True,smote,BOW,"Naive Bayes, Complement",0.8633540372670807,0.7753009088676001,0.7858713279362087,0.7772637855063524
direction,stem,True,smote,BOW,Random Forest,0.9006211180124224,0.8191954244585823,0.8641873225262646,0.8399054042217745
direction,stem,True,smote,BOW,Support Vector Machines,0.9254658385093167,0.8584428024083196,0.8901345435199252,0.8734042553191489
direction,stem,True,ada,Doc2Vec,Logistic Regression,0.6708074534161491,0.410499222999223,0.3904646526802941,0.39539704430142675
direction,stem,True,ada,Doc2Vec,Random Forest,0.7888198757763976,0.8800125313283208,0.45537757437070936,0.4895683242546711
direction,stem,True,ada,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,stem,True,ada,BOW,Logistic Regression,0.906832298136646,0.8331108568522757,0.8817311821753874,0.8536635465080117
direction,stem,True,ada,BOW,"Naive Bayes, Multinomial",0.8385093167701864,0.7333079833079834,0.7863584793185009,0.7512522698461644
direction,stem,True,ada,BOW,"Naive Bayes, Complement",0.8322981366459627,0.731203007518797,0.7601740925203032,0.735417364218387
direction,stem,True,ada,BOW,Random Forest,0.8944099378881988,0.8127743127743128,0.8847694684281034,0.8439212287543936
direction,stem,True,ada,BOW,Support Vector Machines,0.9316770186335404,0.8747126436781608,0.9046272971431136,0.8889434442625932
direction,stem,False,none,Doc2Vec,Logistic Regression,0.6956521739130435,0.39999999999999997,0.36964534097391816,0.362089911396915
direction,stem,False,none,Doc2Vec,Random Forest,0.7453416149068323,0.6944444444444443,0.37426045933247437,0.36727272727272725
direction,stem,False,none,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,stem,False,none,BOW,Logistic Regression,0.8695652173913043,0.8574356799547639,0.727163176483408,0.7684427284427283
direction,stem,False,none,BOW,"Naive Bayes, Multinomial",0.8012422360248447,0.7242460077105747,0.637379894749662,0.6630532971996387
direction,stem,False,none,BOW,"Naive Bayes, Complement",0.8136645962732919,0.7210546139359698,0.7044914075470006,0.7059277554800865
direction,stem,False,none,BOW,Random Forest,0.8571428571428571,0.8925146701016172,0.674794402887013,0.7195023148148149
direction,stem,False,none,BOW,Support Vector Machines,0.8571428571428571,0.8091144149967678,0.7068181963861059,0.7441598224730755
direction,stem,False,smote,Doc2Vec,Logistic Regression,0.6956521739130435,0.39999999999999997,0.36964534097391816,0.362089911396915
direction,stem,False,smote,Doc2Vec,Random Forest,0.7453416149068323,0.6944444444444443,0.37426045933247437,0.36727272727272725
