embedding,stop_words,lemmatization,hidden_dim,lstm_stack,dropout,sample_weights,trainable,accuracy,precision_0,precision_1,precision_2,precision_macro,recall_0,recall_1,recall_2,recall_macro,f1_0,f1_1,f1_2,f1_macro
text_vectorization,False,False,128,True,True,True,False,0.9566459627329192,0.9848172169811321,0.8358662613981763,0.7730263157894737,0.8645699313895939,0.9714992002326596,0.8785942492012779,0.8592321755027422,0.9031085416455599,0.9781128760705659,0.8566978193146418,0.8138528138528138,0.8828878364126739
text_vectorization,False,False,128,True,True,False,True,0.9638509316770186,0.9798492316613511,0.8976510067114094,0.8363309352517986,0.9046103912081863,0.9828413552421114,0.854632587859425,0.850091407678245,0.8958551169265938,0.9813430127041742,0.8756137479541736,0.843155031731641,0.9000372641299963
text_vectorization,False,False,128,True,True,False,False,0.9627329192546584,0.9790037648421662,0.9047619047619048,0.8249566724436742,0.9029074473492483,0.9831321797295333,0.8194888178913738,0.870201096892139,0.8909406981710154,0.9810636291083219,0.8600167644593463,0.8469750889679715,0.8960184941785464
text_vectorization,False,False,128,False,True,True,True,0.9540372670807453,0.9866389548693587,0.8089080459770115,0.7621359223300971,0.8525609743921557,0.9664097717027774,0.8993610223642172,0.8610603290676416,0.9089437077115455,0.976419598912804,0.8517397881996974,0.8085836909871245,0.8789143593665419
text_vectorization,False,False,128,False,True,True,False,0.9609937888198757,0.9858906525573192,0.8431372549019608,0.8044596912521441,0.8778291995704747,0.9754253308128544,0.8929712460063898,0.8574040219378428,0.9086001995856957,0.9806300709012499,0.8673390224980606,0.8300884955752212,0.8926858629915105
text_vectorization,False,False,128,False,True,False,True,0.9618633540372671,0.9774826789838337,0.8785357737104825,0.8502879078694817,0.9021021201879327,0.9847317144103533,0.8434504792332268,0.8098720292504571,0.8793514076313458,0.9810938065918146,0.8606356968215159,0.8295880149812735,0.8904391727982013
text_vectorization,False,False,128,False,True,False,False,0.9611180124223603,0.9751222318090308,0.8883071553228621,0.8546845124282982,0.9060379665200636,0.9860404246037516,0.8130990415335463,0.8171846435100548,0.8721080365491175,0.9805509363025089,0.8490408673894911,0.8355140186915888,0.8883686074611963
glove,False,True,32,True,True,True,True,0.9511801242236024,0.9942502647904373,0.7591145833333334,0.7473997028231798,0.8335881836489835,0.9555038534244583,0.9313099041533547,0.9195612431444241,0.935458333574079,0.9744920658460626,0.8364418938307031,0.8245901639344263,0.8785080412037307
glove,False,True,32,True,True,True,False,0.24248447204968945,0.9873417721518988,0.09257503949447077,0.5969447708578144,0.558953860834728,0.12476370510396975,0.9361022364217252,0.9287020109689214,0.6631893174982054,0.22153369481022464,0.16848763657274293,0.7267525035765379,0.3722579449865018
glove,False,True,32,True,True,False,True,0.9690683229813665,0.9830631152287204,0.8868852459016393,0.881578947368421,0.9171757694995936,0.9874945470408608,0.8642172523961661,0.8574040219378428,0.9030386071249565,0.9852738483859267,0.8754045307443366,0.8693234476367007,0.9100006089223213
glove,False,True,32,True,True,False,False,0.9557763975155279,0.9895740244265714,0.8338323353293413,0.7380239520958084,0.8538101039505737,0.9661189472153555,0.889776357827476,0.9012797074954296,0.9190583375127538,0.9777058347435803,0.8608964451313755,0.811522633744856,0.8833749712066039
glove,False,True,32,False,True,True,True,0.2827329192546584,0.9583660644147682,0.09250739401906014,0.7134587554269175,0.588110737953582,0.17740293732732296,0.8993610223642172,0.9012797074954296,0.6593478890623232,0.2993865030674847,0.1677592371871275,0.7964458804523425,0.4211972069023182
glove,False,True,32,False,True,True,False,0.23093167701863354,0.9859514687100894,0.09204097714736012,0.5455531453362256,0.541181863731225,0.1122582521448306,0.9329073482428115,0.9195612431444241,0.6549089478440221,0.20156657963446478,0.16755128389040308,0.6848196051735875,0.35131248956615185
glove,False,True,32,False,True,False,True,0.9663354037267081,0.9768910578441223,0.9174311926605505,0.879182156133829,0.9245014688795007,0.9896757306965247,0.7987220447284346,0.8647166361974405,0.8843714705407999,0.9832418376191853,0.8539709649871905,0.8718894009216589,0.9030340678426781
glove,False,True,32,False,True,False,False,0.9521739130434783,0.980665006591475,0.8208469055374593,0.7651888341543513,0.855566915427762,0.9735349716446124,0.805111821086262,0.8519195612431444,0.876855451324673,0.977086981903094,0.8129032258064516,0.8062283737024222,0.8654061938039893
glove,False,False,32,True,True,True,True,0.9438509316770186,0.9955589586523736,0.7272727272727273,0.7151079136690648,0.8126465331980551,0.9453249963646939,0.9584664536741214,0.9085923217550275,0.9374612572646143,0.9697918997538599,0.8270158511371468,0.8003220611916265,0.8657099373608778
glove,False,False,32,True,True,True,False,0.2325465838509317,0.9922779922779923,0.5889872173058014,0.08024296675191815,0.5538360587785706,0.11211283990111967,0.9568690095846646,0.9177330895795247,0.6622383130217697,0.2014632871701071,0.72915398660986,0.14758194914008524,0.35939974097335076
glove,False,False,32,True,True,False,True,0.9704347826086956,0.9848815234772496,0.8771384136858476,0.8958333333333334,0.9192844234988101,0.9851679511414861,0.9009584664536742,0.8647166361974405,0.9169476845975336,0.9850247164873509,0.8888888888888888,0.88,0.9179712017920799
glove,False,False,32,True,True,False,False,0.9592546583850932,0.9860253015592821,0.8300455235204856,0.7959527824620574,0.870674535847275,0.9746982695942998,0.8738019169329073,0.8628884826325411,0.9037962230532495,0.9803290676416819,0.8513618677042801,0.8280701754385964,0.8865870369281862
glove,False,False,32,False,True,True,True,0.9433540372670808,0.9945054945054945,0.722636815920398,0.7161383285302594,0.8110935463187173,0.9475061800203577,0.9281150159744409,0.9085923217550275,0.9280711725832753,0.970437113709137,0.8125874125874126,0.8009669621273167,0.8613304961412888
glove,False,False,32,False,True,True,False,0.23440993788819875,0.9806295399515739,0.09191982461634826,0.5847255369928401,0.5524249671869207,0.11778391740584557,0.9376996805111821,0.8957952468007313,0.6504262815725863,0.21030767233545372,0.1674272675413577,0.7075812274368232,0.3617720557712116
